brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,,,discount,star_rating,ratings,reviews,latest_price,old_price
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,42990,57990,25,4.7,74,11,8105764.5,10931115
DELL,Missing,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,No,60790,78307,22,4.4,10,1,11461954.5,14760869.5
HP,Missing,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,45650,55202,17,4.1,39,4,8607307.5,10405577
DELL,Vostro,Intel,Core i3,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,41990,49826,15,3.9,29,7,7917214.5,9392201
DELL,Inspiron,Intel,Core i3,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,45490,60046,24,4.2,43,4,8577139.5,11318671
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14.1,1,No,Yes,44990,58990,23,0,0,0,8482864.5,11119615
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,2,No,Yes,42990,63790,32,4.4,984,99,8105764.5,12024415
HP,15s,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,45490,46990,3,4.3,523,66,8577139.5,8857615
HP,Missing,Intel,Core i3,10th,4 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,38799,47916,19,4.4,30,1,7315551.45,9032166
HP,Pavilion,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,69267,0,0,0,0,0,13060292.85,0
ASUS,VivoBook,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,51649,62990,18,0,0,0,9738418.95,11873615
HP,Missing,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,47990,51165,6,4.3,1605,215,9048514.5,9644602.5
